store_nbr,product_nbr,tickets,sales,quantity_dimless
0,292337,19,169578,19
1,993157,206,490015,301
1,475492,103,526162,112
2,864448,93,87829,110
2,2929,4978,3645122,7172
3,2001,1516,1709939,2036
4,284741,207,499352,207
5,577752,2007,1187102,2248
6,924501,1,4202,1
7,991441,563,431283,564
6,284849,152,384665,176
5,945437,189,386559,277
6,861757,482,611363,654
0,615259,5,30060,6
8,943350,1,1025,1
6,923235,82,454637,91
9,300853,60,60314,63
6,957903,30,126451,34
6,745486,20,121836,22
5,562992,271,460940,285
4,634241,16,28226,19
8,333355,12,38848,16
5,6831,2177,1985947,2315
6,963648,30,80416,32
10,829792,273,154214,485
11,851758,61,131308,63
12,7265,835,1341921,847
0,622541,2,6538,2
3,903067,2799,3898395,3477
3,299197,110,502962,158
3,884450,1645,1474858,1867
3,5809,1295,2958779,1472
4,851110,280,191804,332
13,960546,12,20064,12
14,729721,7,17591,7
15,731619,763,2276292,871
4,298747,10,94925,10
0,930290,15,40393,15
9,296015,156,145020,178
8,602633,10,97383,14
10,911577,108,61197,196
8,6395,1,2672,1
12,2757,221,385304,223
5,701611,7,13376,8
16,955027,300,270480,334
9,295289,63,122120,86
6,978450,187,269136,219
16,939923,37,171604,37
9,850088,838,880861,936
11,285893,1776,3158597,1991
7,437017,211,434280,258
10,689312,33,58219,35
10,904665,846,1341718,766
5,538729,28,143224,29
3,286165,238,222525,272
1,972621,109,80424,165
10,953037,101,128721,121
0,947845,34,137711,34
13,963648,32,82929,33
0,676614,23,66921,25
11,12163,1358,1347370,1489
5,2467,106,251983,109
3,934589,803,1181699,839
2,999480,111,150240,120
10,6407,3307,13423100,4733
6,2677,953,503311,1017
2,961103,26,103406,28
6,282675,3314,3506381,4025
10,621349,7,51203,11
6,283097,180,198625,203
5,11633,491,864372,609
17,962532,166,280492,171
10,310439,175,212784,200
0,935244,3378,3904747,3934
2,428390,25,43615,25
11,295839,42,42288,48
10,321953,158,1764649,167
18,308241,483,450675,879
7,829878,234,221312,261
15,771908,179,326944,245
17,995538,95,195315,96
3,913814,180,312006,184
10,920793,62,316728,62
2,950495,29,171913,41
2,757174,159,1221312,190
3,943,424,319662,815
9,299639,414,442461,437
4,692662,5,18065,5
10,953039,232,292821,292
7,728389,546,723305,585
13,997889,34,40220,48
4,996435,442,272026,402
6,707183,313,680806,357
5,913221,2,1680,2
13,904593,29,69949,31
1,1471,148,306945,154
13,909817,9,7304,11
12,848916,701,775092,830
0,288791,291,461328,325
15,911573,225,124734,417
16,860130,35,151018,38
7,877404,61,54080,65
2,658751,113,159390,115
5,881696,114,604401,141
9,958339,7,6720,8
15,906506,175,82119,203
2,738632,392,281279,916
3,866848,1080,975140,1595
2,645071,259,180513,279
13,968382,59,49920,60
13,1003358,390,550021,403
3,5851,242,444136,265
4,292243,32,41224,34
16,293887,63,119120,66
10,902389,2240,2887202,2670
19,296733,295,217284,386
4,359607,74,67440,75
0,963465,979,1910121,1177
11,981613,107,180576,108
13,464762,1805,1309721,1507
10,4125,1866,4174734,2054
3,810362,286,183245,316
16,966369,167,321937,169
3,168708,282,1142036,284
16,5779,327,345340,434
8,926505,3,10059,3
9,308589,6,13560,6
9,881300,293,227439,306
5,568451,670,778847,771
0,953801,579,463720,731
0,293745,20,13960,20
